 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26. 3.2026    Time:   3: 9:11
 Units: L = cm   , T = days , M = micro


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -120.000 0.3030   0.1139E+00  0.5933E-03 -0.3106E-02  0.5176E-02      -1  -0.298E-03    0.00  0.0000E+00  0.0000E+00
   2    -1.2000    -118.800 0.3038   0.1177E+00  0.5988E-03  0.7976E-07  0.5124E-02      -1   0.764E-08    0.00  0.0000E+00  0.0000E+00
   3    -2.4000    -117.600 0.3046   0.1215E+00  0.6042E-03  0.8100E-07  0.5072E-02      -1   0.776E-08    0.00  0.0000E+00  0.0000E+00
   4    -3.6000    -116.400 0.3053   0.1254E+00  0.6097E-03  0.8041E-07  0.5021E-02      -1   0.770E-08    0.00  0.0000E+00  0.0000E+00
   5    -4.8000    -115.200 0.3061   0.1292E+00  0.6152E-03  0.7130E-07  0.4969E-02      -1   0.683E-08    0.00  0.0000E+00  0.0000E+00
   6    -6.0000    -114.000 0.3069   0.1330E+00  0.6206E-03 -0.3171E-06  0.4917E-02      -1  -0.304E-07    0.00  0.0000E+00  0.0000E+00
   7    -7.2000    -112.800 0.3077   0.1368E+00  0.6261E-03  0.1121E-06  0.4865E-02      -1   0.107E-07    0.00  0.0000E+00  0.0000E+00
   8    -8.4000    -111.600 0.3084   0.1406E+00  0.6316E-03  0.4771E-07  0.4814E-02      -1   0.457E-08    0.00  0.0000E+00  0.0000E+00
   9    -9.6000    -110.400 0.3092   0.1445E+00  0.6371E-03  0.6275E-07  0.4762E-02      -1   0.601E-08    0.00  0.0000E+00  0.0000E+00
  10   -10.8000    -109.200 0.3100   0.1483E+00  0.6425E-03  0.1089E-06  0.4710E-02      -1   0.104E-07    0.00  0.0000E+00  0.0000E+00
  11   -12.0000    -108.000 0.3108   0.1521E+00  0.6480E-03 -0.3627E-06  0.4658E-02      -1  -0.347E-07    0.00  0.0000E+00  0.0000E+00
  12   -13.2000    -106.800 0.3115   0.1559E+00  0.6535E-03  0.1269E-06  0.4607E-02      -1   0.122E-07    0.00  0.0000E+00  0.0000E+00
  13   -14.4000    -105.600 0.3123   0.1598E+00  0.6589E-03  0.5512E-07  0.4555E-02      -1   0.528E-08    0.00  0.0000E+00  0.0000E+00
  14   -15.6000    -104.400 0.3131   0.1636E+00  0.6644E-03  0.1392E-06  0.4503E-02      -1   0.133E-07    0.00  0.0000E+00  0.0000E+00
  15   -16.8000    -103.200 0.3139   0.1674E+00  0.6699E-03  0.1271E-06  0.4451E-02      -1   0.122E-07    0.00  0.0000E+00  0.0000E+00
  16   -18.0000    -102.000 0.3146   0.1712E+00  0.6754E-03 -0.5409E-06  0.4400E-02      -1  -0.518E-07    0.00  0.0000E+00  0.0000E+00
  17   -19.2000    -100.800 0.3154   0.1751E+00  0.6808E-03  0.1484E-06  0.4348E-02      -1   0.142E-07    0.00  0.0000E+00  0.0000E+00
  18   -20.4000     -99.600 0.3162   0.1789E+00  0.6863E-03  0.1364E-06  0.4296E-02      -1   0.131E-07    0.00  0.0000E+00  0.0000E+00
  19   -21.6000     -98.400 0.3170   0.1827E+00  0.6918E-03  0.1546E-06  0.4244E-02      -1   0.148E-07    0.00  0.0000E+00  0.0000E+00
  20   -22.8000     -97.200 0.3177   0.1865E+00  0.6972E-03  0.1425E-06  0.4193E-02      -1   0.137E-07    0.00  0.0000E+00  0.0000E+00
  21   -24.0000     -96.000 0.3185   0.1903E+00  0.7027E-03 -0.6029E-06  0.4141E-02      -1  -0.577E-07    0.00  0.0000E+00  0.0000E+00
  22   -25.2000     -94.800 0.3194   0.1961E+00  0.7087E-03  0.1712E-06  0.4089E-02      -1   0.164E-07    0.00  0.0000E+00  0.0000E+00
  23   -26.4000     -93.600 0.3203   0.2035E+00  0.7152E-03  0.1491E-06  0.4037E-02      -1   0.143E-07    0.00  0.0000E+00  0.0000E+00
  24   -27.6000     -92.400 0.3212   0.2109E+00  0.7217E-03  0.1843E-06  0.3986E-02      -1   0.177E-07    0.00  0.0000E+00  0.0000E+00
  25   -28.8000     -91.200 0.3221   0.2183E+00  0.7282E-03  0.1610E-06  0.3934E-02      -1   0.154E-07    0.00  0.0000E+00  0.0000E+00
  26   -30.0000     -90.000 0.3230   0.2257E+00  0.7346E-03 -0.7129E-06  0.3882E-02      -1  -0.683E-07    0.00  0.0000E+00  0.0000E+00
  27   -31.2000     -88.800 0.3239   0.2331E+00  0.7411E-03  0.1872E-07  0.3830E-02      -1   0.179E-08    0.00  0.0000E+00  0.0000E+00
  28   -32.4000     -87.600 0.3248   0.2404E+00  0.7476E-03  0.3810E-06  0.3778E-02      -1   0.365E-07    0.00  0.0000E+00  0.0000E+00
  29   -33.6000     -86.400 0.3257   0.2478E+00  0.7541E-03  0.4048E-06  0.3727E-02      -1   0.388E-07    0.00  0.0000E+00  0.0000E+00
  30   -34.8000     -85.200 0.3266   0.2552E+00  0.7606E-03  0.1263E-06  0.3675E-02      -1   0.121E-07    0.00  0.0000E+00  0.0000E+00
  31   -36.0000     -84.000 0.3338   0.9736E-01  0.7253E-03 -0.4345E-06  0.3623E-02      -1  -0.416E-07    0.00  0.0000E+00  0.0000E+00
  32   -37.2000     -82.800 0.3346   0.1002E+00  0.7324E-03  0.7463E-08  0.3571E-02      -1   0.715E-09    0.00  0.0000E+00  0.0000E+00
  33   -38.4000     -81.600 0.3355   0.1030E+00  0.7396E-03  0.1635E-06  0.3520E-02      -1   0.157E-07    0.00  0.0000E+00  0.0000E+00
  34   -39.6000     -80.400 0.3364   0.1058E+00  0.7468E-03  0.1725E-06  0.3468E-02      -1   0.165E-07    0.00  0.0000E+00  0.0000E+00
  35   -40.8000     -79.200 0.3372   0.1086E+00  0.7540E-03 -0.1241E-08  0.3416E-02      -1  -0.119E-09    0.00  0.0000E+00  0.0000E+00
  36   -42.0000     -78.000 0.3381   0.1114E+00  0.7612E-03 -0.3519E-06  0.3364E-02      -1  -0.337E-07    0.00  0.0000E+00  0.0000E+00
  37   -43.2000     -76.800 0.3389   0.1142E+00  0.7684E-03  0.7959E-08  0.3313E-02      -1   0.762E-09    0.00  0.0000E+00  0.0000E+00
  38   -44.4000     -75.600 0.3398   0.1171E+00  0.7756E-03  0.1861E-06  0.3261E-02      -1   0.178E-07    0.00  0.0000E+00  0.0000E+00
  39   -45.6000     -74.400 0.3408   0.1224E+00  0.7841E-03  0.2013E-06  0.3209E-02      -1   0.193E-07    0.00  0.0000E+00  0.0000E+00
  40   -46.8000     -73.200 0.3418   0.1277E+00  0.7927E-03 -0.4634E-08  0.3157E-02      -1  -0.444E-09    0.00  0.0000E+00  0.0000E+00
  41   -48.0000     -72.000 0.3428   0.1330E+00  0.8012E-03 -0.4202E-06  0.3106E-02      -1  -0.402E-07    0.00  0.0000E+00  0.0000E+00
  42   -49.2000     -70.800 0.3438   0.1383E+00  0.8097E-03  0.1256E-07  0.3054E-02      -1   0.120E-08    0.00  0.0000E+00  0.0000E+00
  43   -50.4000     -69.600 0.3448   0.1436E+00  0.8182E-03  0.2268E-06  0.3002E-02      -1   0.217E-07    0.00  0.0000E+00  0.0000E+00
  44   -51.6000     -68.400 0.3458   0.1489E+00  0.8268E-03  0.2439E-06  0.2950E-02      -1   0.234E-07    0.00  0.0000E+00  0.0000E+00
  45   -52.8000     -67.200 0.3468   0.1542E+00  0.8353E-03 -0.3845E-08  0.2899E-02      -1  -0.368E-09    0.00  0.0000E+00  0.0000E+00
  46   -54.0000     -66.000 0.3478   0.1595E+00  0.8438E-03 -0.5038E-06  0.2847E-02      -1  -0.483E-07    0.00  0.0000E+00  0.0000E+00
  47   -55.2000     -64.800 0.3488   0.1648E+00  0.8523E-03  0.1335E-07  0.2795E-02      -1   0.128E-08    0.00  0.0000E+00  0.0000E+00
  48   -56.4000     -63.600 0.3498   0.1701E+00  0.8609E-03  0.2694E-06  0.2743E-02      -1   0.258E-07    0.00  0.0000E+00  0.0000E+00
  49   -57.6000     -62.400 0.3507   0.1753E+00  0.8694E-03  0.0000E+00  0.2692E-02      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  50   -58.8000     -61.200 0.3517   0.1806E+00  0.8779E-03  0.0000E+00  0.2640E-02      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  51   -60.0000     -60.000 0.3527   0.1859E+00  0.8865E-03  0.0000E+00  0.2588E-02      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  52   -61.2000     -58.800 0.3539   0.1952E+00  0.8956E-03  0.0000E+00  0.2536E-02      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  53   -62.4000     -57.600 0.3550   0.2046E+00  0.9048E-03  0.0000E+00  0.2484E-02      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  54   -63.6000     -56.400 0.3561   0.2141E+00  0.9139E-03 -0.3456E-06  0.2433E-02      -1  -0.331E-07    0.00  0.0000E+00  0.0000E+00
  55   -64.8000     -55.200 0.3572   0.2235E+00  0.9231E-03  0.2172E-07  0.2381E-02      -1   0.208E-08    0.00  0.0000E+00  0.0000E+00
  56   -66.0000     -54.000 0.3583   0.2330E+00  0.9323E-03  0.7499E-06  0.2329E-02      -1   0.718E-07    0.00  0.0000E+00  0.0000E+00
  57   -67.2000     -52.800 0.3595   0.2424E+00  0.9414E-03 -0.7835E-08  0.2277E-02      -1  -0.751E-09    0.00  0.0000E+00  0.0000E+00
  58   -68.4000     -51.600 0.3606   0.2519E+00  0.9506E-03 -0.3904E-06  0.2226E-02      -1  -0.374E-07    0.00  0.0000E+00  0.0000E+00
  59   -69.6000     -50.400 0.3617   0.2613E+00  0.9598E-03 -0.4202E-06  0.2174E-02      -1  -0.402E-07    0.00  0.0000E+00  0.0000E+00
  60   -70.8000     -49.200 0.3628   0.2708E+00  0.9689E-03  0.2312E-07  0.2122E-02      -1   0.221E-08    0.00  0.0000E+00  0.0000E+00
  61   -72.0000     -48.000 0.3639   0.2802E+00  0.9781E-03  0.9049E-06  0.2070E-02      -1   0.867E-07    0.00  0.0000E+00  0.0000E+00
  62   -73.2000     -46.800 0.3651   0.2935E+00  0.9870E-03 -0.1452E-07  0.2019E-02      -1  -0.139E-08    0.00  0.0000E+00  0.0000E+00
  63   -74.4000     -45.600 0.3663   0.3094E+00  0.9956E-03 -0.4761E-06  0.1967E-02      -1  -0.456E-07    0.00  0.0000E+00  0.0000E+00
  64   -75.6000     -44.400 0.3676   0.3253E+00  0.1004E-02 -0.5265E-06  0.1915E-02      -1  -0.504E-07    0.00  0.0000E+00  0.0000E+00
  65   -76.8000     -43.200 0.3688   0.3413E+00  0.1013E-02  0.3557E-07  0.1863E-02      -1   0.341E-08    0.00  0.0000E+00  0.0000E+00
  66   -78.0000     -42.000 0.3700   0.3572E+00  0.1022E-02  0.1150E-05  0.1812E-02      -1   0.110E-06    0.00  0.0000E+00  0.0000E+00
  67   -79.2000     -40.800 0.3712   0.3731E+00  0.1030E-02 -0.1429E-07  0.1760E-02      -1  -0.137E-08    0.00  0.0000E+00  0.0000E+00
  68   -80.4000     -39.600 0.3725   0.3891E+00  0.1039E-02 -0.6020E-06  0.1708E-02      -1  -0.577E-07    0.00  0.0000E+00  0.0000E+00
  69   -81.6000     -38.400 0.3737   0.4050E+00  0.1048E-02 -0.6551E-06  0.1656E-02      -1  -0.628E-07    0.00  0.0000E+00  0.0000E+00
  70   -82.8000     -37.200 0.3749   0.4245E+00  0.1056E-02  0.4854E-07  0.1605E-02      -1   0.465E-08    0.00  0.0000E+00  0.0000E+00
