 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26. 3.2026    Time:   3: 9:11
 Units: L = cm   , T = days , M = micro


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.063     0.401       0.0   0.104E+02     1.000     0.017     1.000     1.000     1.000
    2      1.20     0.063     0.401       0.0   0.104E+02     1.000     0.017     1.000     1.000     1.000
    3      2.40     0.063     0.401       0.0   0.104E+02     1.000     0.016     1.000     1.000     1.000
    4      3.60     0.063     0.401       0.0   0.104E+02     1.000     0.016     1.000     1.000     1.000
    5      4.80     0.063     0.401       0.0   0.104E+02     1.000     0.016     1.000     1.000     1.000
    6      6.00     0.063     0.401       0.0   0.104E+02     1.000     0.016     1.000     1.000     1.000
    7      7.20     0.063     0.401       0.0   0.104E+02     1.000     0.016     1.000     1.000     1.000
    8      8.40     0.063     0.401       0.0   0.104E+02     1.000     0.016     1.000     1.000     1.000
    9      9.60     0.063     0.401       0.0   0.104E+02     1.000     0.015     1.000     1.000     1.000
   10     10.80     0.063     0.401       0.0   0.104E+02     1.000     0.015     1.000     1.000     1.000
   11     12.00     0.063     0.401       0.0   0.104E+02     1.000     0.015     1.000     1.000     1.000
   12     13.20     0.063     0.401       0.0   0.104E+02     1.000     0.015     1.000     1.000     1.000
   13     14.40     0.063     0.401       0.0   0.104E+02     1.000     0.015     1.000     1.000     1.000
   14     15.60     0.063     0.401       0.0   0.104E+02     1.000     0.015     1.000     1.000     1.000
   15     16.80     0.063     0.401       0.0   0.104E+02     1.000     0.014     1.000     1.000     1.000
   16     18.00     0.063     0.401       0.0   0.104E+02     1.000     0.014     1.000     1.000     1.000
   17     19.20     0.063     0.401       0.0   0.104E+02     1.000     0.014     1.000     1.000     1.000
   18     20.40     0.063     0.401       0.0   0.104E+02     1.000     0.014     1.000     1.000     1.000
   19     21.60     0.063     0.401       0.0   0.104E+02     1.000     0.014     1.000     1.000     1.000
   20     22.80     0.063     0.401       0.0   0.104E+02     1.000     0.014     1.000     1.000     1.000
   21     24.00     0.063     0.401       0.0   0.104E+02     1.000     0.013     1.000     1.000     1.000
   22     25.20     0.063     0.401       0.0   0.104E+02     1.000     0.013     1.000     1.000     1.000
   23     26.40     0.063     0.401       0.0   0.104E+02     1.000     0.013     1.000     1.000     1.000
   24     27.60     0.063     0.401       0.0   0.104E+02     1.000     0.013     1.000     1.000     1.000
   25     28.80     0.063     0.401       0.0   0.104E+02     1.000     0.013     1.000     1.000     1.000
   26     30.00     0.063     0.401       0.0   0.104E+02     1.000     0.013     1.000     1.000     1.000
   27     31.20     0.063     0.401       0.0   0.104E+02     1.000     0.012     1.000     1.000     1.000
   28     32.40     0.063     0.401       0.0   0.104E+02     1.000     0.012     1.000     1.000     1.000
