 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26. 3.2026    Time:   3: 9:11
 Units: L = cm   , T = days , M = micro

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.1000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30359E+00  0.34185E-02 -0.31646E-01  0.31056E-01 -0.31646E-01  0.30359E-01  0.34185E-03 -0.11041E+03 -0.60226E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42548E+02  0.43490E-01  0.11844E-01      1  0.00000E+00      0.000
       1.9952 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30397E+00  0.52694E-01 -0.63141E+00  0.61964E+00 -0.63141E+00  0.60618E+00  0.65288E-01 -0.90218E+02 -0.58650E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.42637E+02  0.86773E+00  0.23631E+00     11  0.00000E+00      0.000
      10.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30389E+00  0.43371E-01 -0.32572E+01  0.31964E+01 -0.32571E+01  0.31286E+01  0.55609E+00 -0.79917E+02 -0.52302E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43231E+02  0.44762E+01  0.12190E+01     21  0.00000E+00      0.000
      20.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30359E+00  0.44131E-02 -0.64218E+01  0.63020E+01 -0.64218E+01  0.61656E+01  0.74533E+00 -0.76458E+02 -0.49212E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43548E+02  0.88252E+01  0.24034E+01     31  0.00000E+00      0.000
      30.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30349E+00 -0.82166E-02 -0.95864E+01  0.94076E+01 -0.95864E+01  0.92008E+01  0.70727E+00 -0.75578E+02 -0.48347E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43639E+02  0.13174E+02  0.35878E+01     41  0.00000E+00      0.000
      40.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30346E+00 -0.11721E-01 -0.12751E+02  0.12513E+02 -0.12751E+02  0.12236E+02  0.60217E+00 -0.75359E+02 -0.48115E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43664E+02  0.17523E+02  0.47722E+01     51  0.00000E+00      0.000
      50.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.12667E-01 -0.15916E+02  0.15619E+02 -0.15916E+02  0.15270E+02  0.47876E+00 -0.75300E+02 -0.48053E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43671E+02  0.21872E+02  0.59566E+01     61  0.00000E+00      0.000
      60.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.12919E-01 -0.19080E+02  0.18724E+02 -0.19080E+02  0.18305E+02  0.35043E+00 -0.75284E+02 -0.48037E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43672E+02  0.26221E+02  0.71410E+01     71  0.00000E+00      0.000
