 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26. 3.2026    Time:   6:18:19
 Units: L = cm   , T = days , M = micro


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -172.000 0.2981   0.2813E+00  0.4796E-03 -0.2912E-02  0.3386E-02      -1  -0.191E-03    0.00  0.0000E+00  0.0000E+00
   2    -1.7200    -170.280 0.2990   0.2881E+00  0.4833E-03  0.2060E-06  0.3336E-02      -1   0.135E-07    0.00  0.0000E+00  0.0000E+00
   3    -3.4400    -168.560 0.2998   0.2948E+00  0.4870E-03  0.2286E-06  0.3285E-02      -1   0.150E-07    0.00  0.0000E+00  0.0000E+00
   4    -5.1600    -166.840 0.3006   0.3015E+00  0.4908E-03  0.2153E-06  0.3234E-02      -1   0.141E-07    0.00  0.0000E+00  0.0000E+00
   5    -6.8800    -165.120 0.3014   0.3083E+00  0.4945E-03  0.1837E-06  0.3184E-02      -1   0.121E-07    0.00  0.0000E+00  0.0000E+00
   6    -8.6000    -163.400 0.3023   0.3150E+00  0.4983E-03  0.2636E-06  0.3133E-02      -1   0.173E-07    0.00  0.0000E+00  0.0000E+00
   7   -10.3200    -161.680 0.3031   0.3217E+00  0.5020E-03 -0.1186E-05  0.3082E-02      -1  -0.778E-07    0.00  0.0000E+00  0.0000E+00
   8   -12.0400    -159.960 0.3039   0.3284E+00  0.5057E-03 -0.1257E-05  0.3032E-02      -1  -0.825E-07    0.00  0.0000E+00  0.0000E+00
   9   -13.7600    -158.240 0.3047   0.3352E+00  0.5095E-03  0.2805E-06  0.2981E-02      -1   0.184E-07    0.00  0.0000E+00  0.0000E+00
  10   -15.4800    -156.520 0.3055   0.3419E+00  0.5132E-03  0.1816E-06  0.2930E-02      -1   0.119E-07    0.00  0.0000E+00  0.0000E+00
  11   -17.2000    -154.800 0.3064   0.3486E+00  0.5169E-03  0.1888E-06  0.2880E-02      -1   0.124E-07    0.00  0.0000E+00  0.0000E+00
  12   -18.9200    -153.080 0.3072   0.3554E+00  0.5207E-03  0.3819E-06  0.2829E-02      -1   0.251E-07    0.00  0.0000E+00  0.0000E+00
  13   -20.6400    -151.360 0.3081   0.3645E+00  0.5246E-03  0.1931E-06  0.2779E-02      -1   0.127E-07    0.00  0.0000E+00  0.0000E+00
  14   -22.3600    -149.640 0.3090   0.3777E+00  0.5289E-03  0.2062E-06  0.2728E-02      -1   0.135E-07    0.00  0.0000E+00  0.0000E+00
  15   -24.0800    -147.920 0.3100   0.3909E+00  0.5332E-03  0.4194E-06  0.2677E-02      -1   0.275E-07    0.00  0.0000E+00  0.0000E+00
  16   -25.8000    -146.200 0.3110   0.4041E+00  0.5374E-03  0.2133E-06  0.2627E-02      -1   0.140E-07    0.00  0.0000E+00  0.0000E+00
  17   -27.5200    -144.480 0.3119   0.4174E+00  0.5417E-03  0.2274E-06  0.2576E-02      -1   0.149E-07    0.00  0.0000E+00  0.0000E+00
  18   -29.2400    -142.760 0.3129   0.4306E+00  0.5460E-03  0.4620E-06  0.2525E-02      -1   0.303E-07    0.00  0.0000E+00  0.0000E+00
  19   -30.9600    -141.040 0.3139   0.4438E+00  0.5503E-03 -0.1766E-05  0.2475E-02      -1  -0.116E-06    0.00  0.0000E+00  0.0000E+00
  20   -32.6800    -139.320 0.3148   0.4571E+00  0.5545E-03 -0.2000E-05  0.2424E-02      -1  -0.131E-06    0.00  0.0000E+00  0.0000E+00
  21   -34.4000    -137.600 0.3158   0.4703E+00  0.5588E-03  0.5401E-06  0.2373E-02      -1   0.354E-07    0.00  0.0000E+00  0.0000E+00
  22   -36.1200    -135.880 0.3168   0.4835E+00  0.5631E-03  0.5401E-06  0.2323E-02      -1   0.354E-07    0.00  0.0000E+00  0.0000E+00
  23   -37.8400    -134.160 0.3177   0.4967E+00  0.5674E-03  0.0000E+00  0.2272E-02      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  24   -39.5600    -132.440 0.3187   0.5100E+00  0.5716E-03  0.5850E-06  0.2221E-02      -1   0.384E-07    0.00  0.0000E+00  0.0000E+00
  25   -41.2800    -130.720 0.3197   0.5232E+00  0.5759E-03  0.5850E-06  0.2171E-02      -1   0.384E-07    0.00  0.0000E+00  0.0000E+00
  26   -43.0000    -129.000 0.3206   0.5364E+00  0.5802E-03  0.0000E+00  0.2120E-02      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  27   -44.7200    -127.280 0.3216   0.5496E+00  0.5845E-03  0.6299E-06  0.2069E-02      -1   0.413E-07    0.00  0.0000E+00  0.0000E+00
  28   -46.4400    -125.560 0.3226   0.5629E+00  0.5887E-03  0.6299E-06  0.2019E-02      -1   0.413E-07    0.00  0.0000E+00  0.0000E+00
  29   -48.1600    -123.840 0.3235   0.5761E+00  0.5930E-03 -0.1285E-05  0.1968E-02      -1  -0.843E-07    0.00  0.0000E+00  0.0000E+00
  30   -49.8800    -122.120 0.3245   0.5893E+00  0.5973E-03 -0.9016E-06  0.1918E-02      -1  -0.592E-07    0.00  0.0000E+00  0.0000E+00
  31   -51.6000    -120.400 0.2814   0.8787E-01  0.5745E-03  0.3835E-06  0.1867E-02      -1   0.252E-07    0.00  0.0000E+00  0.0000E+00
  32   -53.3200    -118.680 0.2824   0.9247E-01  0.5837E-03  0.0000E+00  0.1816E-02      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  33   -55.0400    -116.960 0.2835   0.9707E-01  0.5928E-03  0.1125E-06  0.1766E-02      -1   0.738E-08    0.00  0.0000E+00  0.0000E+00
  34   -56.7600    -115.240 0.2846   0.1017E+00  0.6020E-03  0.1125E-06  0.1715E-02      -1   0.738E-08    0.00  0.0000E+00  0.0000E+00
  35   -58.4800    -113.520 0.2857   0.1063E+00  0.6112E-03 -0.2394E-06  0.1664E-02      -1  -0.157E-07    0.00  0.0000E+00  0.0000E+00
  36   -60.2000    -111.800 0.2868   0.1109E+00  0.6203E-03 -0.1113E-06  0.1614E-02      -1  -0.730E-08    0.00  0.0000E+00  0.0000E+00
  37   -61.9200    -110.080 0.2879   0.1155E+00  0.6295E-03  0.1282E-06  0.1563E-02      -1   0.841E-08    0.00  0.0000E+00  0.0000E+00
  38   -63.6400    -108.360 0.2890   0.1201E+00  0.6386E-03  0.0000E+00  0.1512E-02      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  39   -65.3600    -106.640 0.2901   0.1247E+00  0.6478E-03  0.0000E+00  0.1462E-02      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  40   -67.0800    -104.920 0.2912   0.1293E+00  0.6570E-03  0.0000E+00  0.1411E-02      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  41   -68.8000    -103.200 0.2923   0.1339E+00  0.6661E-03  0.0000E+00  0.1360E-02      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  42   -70.5200    -101.480 0.2934   0.1385E+00  0.6753E-03  0.0000E+00  0.1310E-02      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  43   -72.2400     -99.760 0.2945   0.1431E+00  0.6845E-03  0.0000E+00  0.1259E-02      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  44   -73.9600     -98.040 0.2956   0.1477E+00  0.6936E-03  0.0000E+00  0.1208E-02      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  45   -75.6800     -96.320 0.2967   0.1523E+00  0.7028E-03  0.0000E+00  0.1158E-02      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  46   -77.4000     -94.600 0.2979   0.1592E+00  0.7134E-03  0.0000E+00  0.1107E-02      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  47   -79.1200     -92.880 0.2992   0.1686E+00  0.7254E-03  0.0000E+00  0.1057E-02      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  48   -80.8400     -91.160 0.3006   0.1780E+00  0.7374E-03  0.0000E+00  0.1006E-02      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  49   -82.5600     -89.440 0.3019   0.1874E+00  0.7494E-03  0.0000E+00  0.9552E-03      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  50   -84.2800     -87.720 0.3032   0.1968E+00  0.7614E-03  0.0000E+00  0.9046E-03      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  51   -86.0000     -86.000 0.3046   0.2062E+00  0.7734E-03  0.0000E+00  0.8539E-03      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  52   -87.7200     -84.280 0.3059   0.2155E+00  0.7855E-03  0.0000E+00  0.8033E-03      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  53   -89.4400     -82.560 0.3072   0.2249E+00  0.7975E-03  0.0000E+00  0.7526E-03      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  54   -91.1600     -80.840 0.3086   0.2343E+00  0.8095E-03  0.0000E+00  0.7020E-03      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  55   -92.8800     -79.120 0.3099   0.2437E+00  0.8215E-03  0.0000E+00  0.6513E-03      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  56   -94.6000     -77.400 0.3112   0.2531E+00  0.8335E-03  0.0000E+00  0.6007E-03      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  57   -96.3200     -75.680 0.3126   0.2624E+00  0.8455E-03  0.0000E+00  0.5501E-03      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  58   -98.0400     -73.960 0.3141   0.2804E+00  0.8600E-03  0.0000E+00  0.4994E-03      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  59   -99.7600     -72.240 0.3157   0.2986E+00  0.8745E-03  0.0000E+00  0.4488E-03      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  60  -101.4800     -70.520 0.3172   0.3167E+00  0.8890E-03  0.0000E+00  0.3981E-03      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  61  -103.2000     -68.800 0.3188   0.3348E+00  0.9036E-03  0.0000E+00  0.3475E-03      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  62  -104.9200     -67.080 0.3204   0.3530E+00  0.9181E-03  0.0000E+00  0.2968E-03      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  63  -106.6400     -65.360 0.3219   0.3711E+00  0.9326E-03  0.0000E+00  0.2462E-03      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  64  -108.3600     -63.640 0.3235   0.3893E+00  0.9472E-03  0.0000E+00  0.1955E-03      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  65  -110.0800     -61.920 0.3251   0.4074E+00  0.9617E-03 -0.4592E-06  0.1449E-03      -1  -0.301E-07    0.00  0.0000E+00  0.0000E+00
  66  -111.8000     -60.200 0.3266   0.4256E+00  0.9762E-03  0.5134E-06  0.9423E-04      -1   0.337E-07    0.00  0.0000E+00  0.0000E+00
  67  -113.5200     -58.480 0.3284   0.4565E+00  0.9919E-03  0.9726E-06  0.4358E-04      -1   0.638E-07    0.00  0.0000E+00  0.0000E+00
  68  -115.2400     -56.760 0.3302   0.4896E+00  0.1008E-02 -0.5581E-06  0.0000E+00      -1  -0.366E-07    0.00  0.0000E+00  0.0000E+00
  69  -116.9600     -55.040 0.3320   0.5227E+00  0.1024E-02 -0.5581E-06  0.0000E+00      -1  -0.366E-07    0.00  0.0000E+00  0.0000E+00
  70  -118.6800     -53.320 0.3337   0.5558E+00  0.1040E-02  0.0000E+00  0.0000E+00      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
