 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26. 3.2026    Time:   6:18:19
 Units: L = cm   , T = days , M = micro


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.055     0.400       0.0   0.152E+02     1.000     0.017     1.000     1.000     1.000
    2      1.72     0.055     0.400       0.0   0.152E+02     1.000     0.017     1.000     1.000     1.000
    3      3.44     0.055     0.400       0.0   0.152E+02     1.000     0.017     1.000     1.000     1.000
    4      5.16     0.055     0.400       0.0   0.152E+02     1.000     0.017     1.000     1.000     1.000
    5      6.88     0.055     0.400       0.0   0.152E+02     1.000     0.016     1.000     1.000     1.000
    6      8.60     0.055     0.400       0.0   0.152E+02     1.000     0.016     1.000     1.000     1.000
    7     10.32     0.055     0.400       0.0   0.152E+02     1.000     0.016     1.000     1.000     1.000
    8     12.04     0.055     0.400       0.0   0.152E+02     1.000     0.016     1.000     1.000     1.000
    9     13.76     0.055     0.400       0.0   0.152E+02     1.000     0.015     1.000     1.000     1.000
   10     15.48     0.055     0.400       0.0   0.152E+02     1.000     0.015     1.000     1.000     1.000
   11     17.20     0.055     0.400       0.0   0.152E+02     1.000     0.015     1.000     1.000     1.000
   12     18.92     0.055     0.400       0.0   0.152E+02     1.000     0.015     1.000     1.000     1.000
   13     20.64     0.055     0.400       0.0   0.152E+02     1.000     0.014     1.000     1.000     1.000
   14     22.36     0.055     0.400       0.0   0.152E+02     1.000     0.014     1.000     1.000     1.000
   15     24.08     0.055     0.400       0.0   0.152E+02     1.000     0.014     1.000     1.000     1.000
   16     25.80     0.055     0.400       0.0   0.152E+02     1.000     0.013     1.000     1.000     1.000
   17     27.52     0.055     0.400       0.0   0.152E+02     1.000     0.013     1.000     1.000     1.000
   18     29.24     0.055     0.400       0.0   0.152E+02     1.000     0.013     1.000     1.000     1.000
   19     30.96     0.055     0.400       0.0   0.152E+02     1.000     0.013     1.000     1.000     1.000
   20     32.68     0.055     0.400       0.0   0.152E+02     1.000     0.012     1.000     1.000     1.000
   21     34.40     0.055     0.400       0.0   0.152E+02     1.000     0.012     1.000     1.000     1.000
   22     36.12     0.055     0.400       0.0   0.152E+02     1.000     0.012     1.000     1.000     1.000
   23     37.84     0.055     0.400       0.0   0.152E+02     1.000     0.012     1.000     1.000     1.000
   24     39.56     0.055     0.400       0.0   0.152E+02     1.000     0.011     1.000     1.000     1.000
   25     41.28     0.055     0.400       0.0   0.152E+02     1.000     0.011     1.000     1.000     1.000
   26     43.00     0.055     0.400       0.0   0.152E+02     1.000     0.011     1.000     1.000     1.000
   27     44.72     0.055     0.400       0.0   0.152E+02     1.000     0.011     1.000     1.000     1.000
   28     46.44     0.055     0.400       0.0   0.152E+02     1.000     0.010     1.000     1.000     1.000
   29     48.16     0.055     0.400       0.0   0.152E+02     1.000     0.010     1.000     1.000     1.000
   30     49.88     0.055     0.400       0.0   0.152E+02     1.000     0.010     1.000     1.000     1.000
   31     51.60     0.057     0.393       0.0   0.166E+02     1.093     0.010     1.000     1.000     1.000
   32     53.32     0.057     0.393       0.0   0.166E+02     1.093     0.009     1.000     1.000     1.000
   33     55.04     0.057     0.393       0.0   0.166E+02     1.093     0.009     1.000     1.000     1.000
   34     56.76     0.057     0.393       0.0   0.166E+02     1.093     0.009     1.000     1.000     1.000
   35     58.48     0.057     0.393       0.0   0.166E+02     1.093     0.009     1.000     1.000     1.000
   36     60.20     0.057     0.393       0.0   0.166E+02     1.093     0.008     1.000     1.000     1.000
   37     61.92     0.057     0.393       0.0   0.166E+02     1.093     0.008     1.000     1.000     1.000
   38     63.64     0.057     0.393       0.0   0.166E+02     1.093     0.008     1.000     1.000     1.000
   39     65.36     0.057     0.393       0.0   0.166E+02     1.093     0.008     1.000     1.000     1.000
   40     67.08     0.057     0.393       0.0   0.166E+02     1.093     0.007     1.000     1.000     1.000
   41     68.80     0.057     0.393       0.0   0.166E+02     1.093     0.007     1.000     1.000     1.000
   42     70.52     0.057     0.393       0.0   0.166E+02     1.093     0.007     1.000     1.000     1.000
   43     72.24     0.057     0.393       0.0   0.166E+02     1.093     0.006     1.000     1.000     1.000
   44     73.96     0.057     0.393       0.0   0.166E+02     1.093     0.006     1.000     1.000     1.000
   45     75.68     0.057     0.393       0.0   0.166E+02     1.093     0.006     1.000     1.000     1.000
   46     77.40     0.057     0.393       0.0   0.166E+02     1.093     0.006     1.000     1.000     1.000
   47     79.12     0.057     0.393       0.0   0.166E+02     1.093     0.005     1.000     1.000     1.000
   48     80.84     0.057     0.393       0.0   0.166E+02     1.093     0.005     1.000     1.000     1.000
   49     82.56     0.057     0.393       0.0   0.166E+02     1.093     0.005     1.000     1.000     1.000
   50     84.28     0.057     0.393       0.0   0.166E+02     1.093     0.005     1.000     1.000     1.000
   51     86.00     0.057     0.393       0.0   0.166E+02     1.093     0.004     1.000     1.000     1.000
   52     87.72     0.057     0.393       0.0   0.166E+02     1.093     0.004     1.000     1.000     1.000
   53     89.44     0.057     0.393       0.0   0.166E+02     1.093     0.004     1.000     1.000     1.000
   54     91.16     0.057     0.393       0.0   0.166E+02     1.093     0.004     1.000     1.000     1.000
   55     92.88     0.057     0.393       0.0   0.166E+02     1.093     0.003     1.000     1.000     1.000
   56     94.60     0.057     0.393       0.0   0.166E+02     1.093     0.003     1.000     1.000     1.000
   57     96.32     0.057     0.393       0.0   0.166E+02     1.093     0.003     1.000     1.000     1.000
   58     98.04     0.057     0.393       0.0   0.166E+02     1.093     0.003     1.000     1.000     1.000
   59     99.76     0.057     0.393       0.0   0.166E+02     1.093     0.002     1.000     1.000     1.000
   60    101.48     0.057     0.393       0.0   0.166E+02     1.093     0.002     1.000     1.000     1.000
   61    103.20     0.057     0.393       0.0   0.166E+02     1.093     0.002     1.000     1.000     1.000
   62    104.92     0.057     0.393       0.0   0.166E+02     1.093     0.002     1.000     1.000     1.000
   63    106.64     0.057     0.393       0.0   0.166E+02     1.093     0.001     1.000     1.000     1.000
   64    108.36     0.057     0.393       0.0   0.166E+02     1.093     0.001     1.000     1.000     1.000
   65    110.08     0.057     0.393       0.0   0.166E+02     1.093     0.001     1.000     1.000     1.000
   66    111.80     0.057     0.393       0.0   0.166E+02     1.093     0.000     1.000     1.000     1.000
   67    113.52     0.057     0.393       0.0   0.166E+02     1.093     0.000     1.000     1.000     1.000
   68    115.24     0.057     0.393       0.0   0.166E+02     1.093     0.000     1.000     1.000     1.000
   69    116.96     0.057     0.393       0.0   0.166E+02     1.093     0.000     1.000     1.000     1.000
   70    118.68     0.057     0.393       0.0   0.166E+02     1.093     0.000     1.000     1.000     1.000
   71    120.40     0.057     0.393       0.0   0.166E+02     1.093     0.000     1.000     1.000     1.000
   72    122.12     0.057     0.393       0.0   0.166E+02     1.093     0.000     1.000     1.000     1.000
   73    123.84     0.057     0.393       0.0   0.166E+02     1.093     0.000     1.000     1.000     1.000
   74    125.56     0.057     0.393       0.0   0.166E+02     1.093     0.000     1.000     1.000     1.000
   75    127.28     0.057     0.393       0.0   0.166E+02     1.093     0.000     1.000     1.000     1.000
   76    129.00     0.057     0.393       0.0   0.166E+02     1.093     0.000     1.000     1.000     1.000
   77    130.72     0.057     0.393       0.0   0.166E+02     1.093     0.000     1.000     1.000     1.000
   78    132.44     0.057     0.393       0.0   0.166E+02     1.093     0.000     1.000     1.000     1.000
   79    134.16     0.057     0.393       0.0   0.166E+02     1.093     0.000     1.000     1.000     1.000
   80    135.88     0.057     0.393       0.0   0.166E+02     1.093     0.000     1.000     1.000     1.000
   81    137.60     0.057     0.393       0.0   0.166E+02     1.093     0.000     1.000     1.000     1.000
   82    139.32     0.057     0.393       0.0   0.166E+02     1.093     0.000     1.000     1.000     1.000
   83    141.04     0.057     0.393       0.0   0.166E+02     1.093     0.000     1.000     1.000     1.000
   84    142.76     0.057     0.393       0.0   0.166E+02     1.093     0.000     1.000     1.000     1.000
   85    144.48     0.057     0.393       0.0   0.166E+02     1.093     0.000     1.000     1.000     1.000
