 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26. 3.2026    Time:   6:18:19
 Units: L = cm   , T = days , M = micro

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.1000 -0.19882E+00  0.19472E+00 -0.19882E+00  0.19472E+00  0.14094E-04 -0.19882E-01  0.19472E-01 -0.19882E-01  0.19472E-01  0.14094E-05 -0.16751E+03 -0.11476E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.55919E+02  0.30210E-01  0.10328E-01      1  0.00000E+00      0.000
       4.3015 -0.19882E+00  0.19472E+00 -0.19882E+00  0.19472E+00  0.16677E-01 -0.85522E+00  0.83758E+00 -0.85522E+00  0.83758E+00  0.40662E-01 -0.15656E+03 -0.11310E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.55977E+02  0.12995E+01  0.44427E+00     11  0.00000E+00      0.000
      14.3015 -0.19882E+00  0.19472E+00 -0.19882E+00  0.19472E+00  0.13870E-01 -0.28434E+01  0.27848E+01 -0.28434E+01  0.27848E+01  0.21600E+00 -0.15228E+03 -0.10999E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.56194E+02  0.43205E+01  0.14771E+01     21  0.00000E+00      0.000
      24.3015 -0.19882E+00  0.19472E+00 -0.19882E+00  0.19472E+00  0.54572E-02 -0.48316E+01  0.47319E+01 -0.48316E+01  0.47319E+01  0.30490E+00 -0.15034E+03 -0.10829E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.56323E+02  0.73415E+01  0.25099E+01     31  0.00000E+00      0.000
      34.3015 -0.19882E+00  0.19472E+00 -0.19882E+00  0.19472E+00  0.79864E-03 -0.68198E+01  0.66791E+01 -0.68198E+01  0.66791E+01  0.33140E+00 -0.14935E+03 -0.10741E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.56391E+02  0.10362E+02  0.35427E+01     41  0.00000E+00      0.000
      44.3015 -0.19882E+00  0.19472E+00 -0.19882E+00  0.19472E+00 -0.16169E-02 -0.88079E+01  0.86263E+01 -0.88079E+01  0.86263E+01  0.32480E+00 -0.14884E+03 -0.10697E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.56425E+02  0.13383E+02  0.45755E+01     51  0.00000E+00      0.000
      54.3015 -0.19882E+00  0.19472E+00 -0.19882E+00  0.19472E+00 -0.28485E-02 -0.10796E+02  0.10573E+02 -0.10796E+02  0.10573E+02  0.30117E+00 -0.14859E+03 -0.10675E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.56443E+02  0.16404E+02  0.56084E+01     61  0.00000E+00      0.000
      64.3015 -0.19882E+00  0.19472E+00 -0.19882E+00  0.19472E+00 -0.34726E-02 -0.12784E+02  0.12521E+02 -0.12784E+02  0.12521E+02  0.26890E+00 -0.14846E+03 -0.10663E+03  0.00000E+00  0.00000E+00  0.00000E+00  0.56451E+02  0.19425E+02  0.66412E+01     71  0.00000E+00      0.000
